dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.75414, 0.045769)","(0.828262, 0.023816)","(0.616235, 0.067538)","(0.619662, 0.085794)","(0.614266, 0.049285)","(0.470096, 0.064209)","(0.619662, 0.085794)","(0.888618, 0.008397)","(0.506208, 0.081052)",lgbm_scaled
cat_1_sd,"(0.7604, 0.033156)","(0.801763, 0.027684)","(0.609058, 0.046187)","(0.685405, 0.050997)","(0.549157, 0.049605)","(0.44873, 0.044309)","(0.685405, 0.050997)","(0.835395, 0.027103)","(0.484416, 0.063913)",lgbm_scaled
cat_1_2,"(0.695368, 0.043806)","(0.616343, 0.057313)","(0.497886, 0.042651)","(0.838697, 0.048154)","(0.355267, 0.039717)","(0.334871, 0.035533)","(0.838697, 0.048154)","(0.552039, 0.072341)","(0.328568, 0.071221)",lgbm_scaled
cat_1_2_sd,"(0.690299, 0.038827)","(0.606515, 0.042795)","(0.491487, 0.036068)","(0.842557, 0.04481)","(0.347367, 0.03017)","(0.32893, 0.028721)","(0.842557, 0.04481)","(0.538041, 0.048883)","(0.31962, 0.064356)",lgbm_scaled
cat_1_2_3,"(0.702752, 0.026587)","(0.606515, 0.029173)","(0.5009, 0.026064)","(0.87755, 0.044879)","(0.350887, 0.021922)","(0.335795, 0.021881)","(0.87755, 0.044879)","(0.527954, 0.036973)","(0.341941, 0.045235)",lgbm_scaled
complete,"(0.690152, 0.035129)","(0.586883, 0.039059)","(0.489198, 0.032123)","(0.877643, 0.044821)","(0.339521, 0.026497)","(0.326135, 0.026234)","(0.877643, 0.044821)","(0.50266, 0.045376)","(0.322307, 0.058349)",lgbm_scaled
