"__leidenCluster","name","selected","shared name"
"1","ENSG00000143545","false","ENSG00000143545"
"1","ENSG00000038382","false","ENSG00000038382"
"1","ENSG00000155980","false","ENSG00000155980"
"1","ENSG00000113575","false","ENSG00000113575"
"1","ENSG00000006125","false","ENSG00000006125"
"1","ENSG00000111540","false","ENSG00000111540"
"1","ENSG00000158623","false","ENSG00000158623"
"1","ENSG00000061987","false","ENSG00000061987"
"1","ENSG00000124198","false","ENSG00000124198"
"1","ENSG00000120805","false","ENSG00000120805"
"1","ENSG00000027075","false","ENSG00000027075"
"4","ENSG00000182247","false","ENSG00000182247"
"1","ENSG00000114349","false","ENSG00000114349"
"1","ENSG00000128340","false","ENSG00000128340"
"4","ENSG00000119048","false","ENSG00000119048"
"1","ENSG00000081803","false","ENSG00000081803"
"1","ENSG00000105723","false","ENSG00000105723"
"1","ENSG00000006451","false","ENSG00000006451"
"1","ENSG00000067606","false","ENSG00000067606"
"1","ENSG00000078142","false","ENSG00000078142"
"1","ENSG00000170471","false","ENSG00000170471"
"1","ENSG00000133818","false","ENSG00000133818"
"1","ENSG00000163558","false","ENSG00000163558"
"1","ENSG00000088256","false","ENSG00000088256"
"2","ENSG00000131051","false","ENSG00000131051"
"2","ENSG00000104408","false","ENSG00000104408"
"1","ENSG00000213281","false","ENSG00000213281"
"5","ENSG00000064393","false","ENSG00000064393"
"1","ENSG00000169213","false","ENSG00000169213"
"3","ENSG00000174579","false","ENSG00000174579"
"5","ENSG00000197905","false","ENSG00000197905"
"1","ENSG00000115091","false","ENSG00000115091"
"3","ENSG00000139687","false","ENSG00000139687"
"1","ENSG00000181467","false","ENSG00000181467"
"1","ENSG00000166016","false","ENSG00000166016"
"4","ENSG00000123374","false","ENSG00000123374"
"3","ENSG00000100297","false","ENSG00000100297"
"1","ENSG00000172780","false","ENSG00000172780"
"5","ENSG00000124782","false","ENSG00000124782"
"1","ENSG00000123728","false","ENSG00000123728"
"1","ENSG00000111664","false","ENSG00000111664"
"1","ENSG00000017797","false","ENSG00000017797"
"1","ENSG00000149970","false","ENSG00000149970"
"3","ENSG00000070770","false","ENSG00000070770"
"3","ENSG00000107077","false","ENSG00000107077"
"1","ENSG00000141503","false","ENSG00000141503"
"1","ENSG00000156599","false","ENSG00000156599"
"1","ENSG00000116954","false","ENSG00000116954"
"1","ENSG00000119396","false","ENSG00000119396"
"5","ENSG00000221978","false","ENSG00000221978"
"1","ENSG00000188559","false","ENSG00000188559"
"1","ENSG00000134278","false","ENSG00000134278"
"1","ENSG00000113448","false","ENSG00000113448"
"1","ENSG00000141968","false","ENSG00000141968"
"5","ENSG00000187079","false","ENSG00000187079"
"3","ENSG00000196591","false","ENSG00000196591"
"1","ENSG00000185386","false","ENSG00000185386"
"1","ENSG00000119541","false","ENSG00000119541"
"1","ENSG00000150672","false","ENSG00000150672"
"1","ENSG00000100852","false","ENSG00000100852"
"1","ENSG00000072062","false","ENSG00000072062"
"1","ENSG00000154310","false","ENSG00000154310"
"1","ENSG00000156052","false","ENSG00000156052"
"1","ENSG00000183826","false","ENSG00000183826"
"1","ENSG00000144118","false","ENSG00000144118"
"1","ENSG00000100030","false","ENSG00000100030"
"1","ENSG00000204217","false","ENSG00000204217"
"1","ENSG00000169891","false","ENSG00000169891"
"1","ENSG00000114346","false","ENSG00000114346"
"1","ENSG00000143924","false","ENSG00000143924"
"1","ENSG00000078295","false","ENSG00000078295"
"1","ENSG00000168461","false","ENSG00000168461"
"1","ENSG00000177169","false","ENSG00000177169"
"1","ENSG00000108061","false","ENSG00000108061"
"5","ENSG00000178764","false","ENSG00000178764"
"1","ENSG00000165322","false","ENSG00000165322"
"1","ENSG00000188130","false","ENSG00000188130"
"3","ENSG00000127663","false","ENSG00000127663"
"1","ENSG00000066027","false","ENSG00000066027"
"1","ENSG00000116574","false","ENSG00000116574"
"3","ENSG00000066135","false","ENSG00000066135"
"3","ENSG00000139372","false","ENSG00000139372"
"1","ENSG00000102606","false","ENSG00000102606"
"4","ENSG00000101557","false","ENSG00000101557"
"4","ENSG00000177889","false","ENSG00000177889"
"1","ENSG00000116106","false","ENSG00000116106"
"3","ENSG00000123066","false","ENSG00000123066"
"1","ENSG00000105649","false","ENSG00000105649"
"1","ENSG00000107099","false","ENSG00000107099"
"1","ENSG00000124209","false","ENSG00000124209"
"3","ENSG00000108510","false","ENSG00000108510"
"1","ENSG00000137145","false","ENSG00000137145"
"1","ENSG00000172007","false","ENSG00000172007"
"2","ENSG00000104824","false","ENSG00000104824"
"3","ENSG00000198730","false","ENSG00000198730"
"3","ENSG00000136518","false","ENSG00000136518"
"1","ENSG00000137269","false","ENSG00000137269"
"1","ENSG00000115020","false","ENSG00000115020"
"1","ENSG00000136111","false","ENSG00000136111"
"5","ENSG00000125398","false","ENSG00000125398"
"1","ENSG00000162409","false","ENSG00000162409"
"5","ENSG00000158773","false","ENSG00000158773"
"1","ENSG00000011566","false","ENSG00000011566"
"1","ENSG00000147251","false","ENSG00000147251"
"1","ENSG00000125249","false","ENSG00000125249"
"1","ENSG00000119729","false","ENSG00000119729"
"1","ENSG00000087053","false","ENSG00000087053"
"1","ENSG00000217128","false","ENSG00000217128"
"1","ENSG00000160007","false","ENSG00000160007"
