dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.829217, 0.016253)","(0.833159, 0.022648)","(0.691891, 0.026775)","(0.822202, 0.04292)","(0.600524, 0.047591)","(0.532968, 0.032922)","(0.822202, 0.04292)","(0.836233, 0.036207)","(0.597306, 0.035965)",lr_scaled
cat_1_sd,"(0.829417, 0.018292)","(0.814527, 0.022198)","(0.677562, 0.022718)","(0.856892, 0.056395)","(0.563364, 0.038298)","(0.513933, 0.026546)","(0.856892, 0.056395)","(0.801943, 0.039419)","(0.582079, 0.031776)",lr_scaled
cat_1_2,"(0.794912, 0.020545)","(0.746822, 0.022781)","(0.613118, 0.025369)","(0.882979, 0.026525)","(0.469957, 0.025273)","(0.441787, 0.025593)","(0.882979, 0.026525)","(0.706845, 0.027048)","(0.499911, 0.036843)",lr_scaled
cat_1_2_sd,"(0.796415, 0.023838)","(0.746827, 0.023153)","(0.614116, 0.02795)","(0.887234, 0.035167)","(0.469894, 0.025544)","(0.442957, 0.028181)","(0.887234, 0.035167)","(0.705595, 0.02599)","(0.502105, 0.041721)",lr_scaled
cat_1_2_3,"(0.785764, 0.021326)","(0.735053, 0.023208)","(0.601044, 0.025304)","(0.878631, 0.029931)","(0.457109, 0.024304)","(0.429445, 0.025033)","(0.878631, 0.029931)","(0.692897, 0.027866)","(0.483102, 0.037484)",lr_scaled
complete,"(0.789802, 0.024844)","(0.738984, 0.02484)","(0.605768, 0.029058)","(0.882886, 0.035734)","(0.461402, 0.026603)","(0.434431, 0.029065)","(0.882886, 0.035734)","(0.696719, 0.028237)","(0.490188, 0.043467)",lr_scaled
