dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.484959, 0.043426)","(0.537259, 0.026167)","(0.274842, 0.053086)","(0.389662, 0.083789)","(0.212526, 0.038657)","(0.224025, 0.016347)","(0.389662, 0.083789)","(0.580256, 0.023745)","(-0.025828, 0.073946)",lr
cat_1_sd,"(0.479015, 0.034671)","(0.496522, 0.032342)","(0.287424, 0.033401)","(0.447053, 0.04159)","(0.211927, 0.027157)","(0.220961, 0.013538)","(0.447053, 0.04159)","(0.510976, 0.031633)","(-0.03496, 0.058123)",lr
cat_1_2,"(0.505355, 0.039599)","(0.496517, 0.039132)","(0.319881, 0.035815)","(0.521546, 0.054026)","(0.230988, 0.027886)","(0.230007, 0.015289)","(0.521546, 0.054026)","(0.489165, 0.043353)","(0.009062, 0.066351)",lr
cat_1_2_sd,"(0.508524, 0.049975)","(0.489547, 0.043808)","(0.326166, 0.045075)","(0.543285, 0.063995)","(0.233181, 0.034589)","(0.232117, 0.018049)","(0.543285, 0.063995)","(0.473763, 0.039814)","(0.014411, 0.083871)",lr
cat_1_2_3,"(0.50948, 0.056245)","(0.488552, 0.050156)","(0.327868, 0.048843)","(0.547826, 0.06902)","(0.234051, 0.037175)","(0.23306, 0.019477)","(0.547826, 0.06902)","(0.471133, 0.045773)","(0.015782, 0.094408)",lr
complete,"(0.518093, 0.041025)","(0.499458, 0.045263)","(0.334151, 0.036725)","(0.552174, 0.049308)","(0.239996, 0.03007)","(0.235001, 0.018052)","(0.552174, 0.049308)","(0.484012, 0.052424)","(0.030434, 0.068927)",lr
