dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.854442, 0.026573)","(0.860992, 0.020248)","(0.733255, 0.035752)","(0.842415, 0.053258)","(0.651265, 0.042999)","(0.584612, 0.045029)","(0.842415, 0.053258)","(0.866468, 0.024961)","(0.652487, 0.048067)",lr
cat_1_sd,"(0.853796, 0.035116)","(0.848096, 0.033935)","(0.722352, 0.0547)","(0.864251, 0.051702)","(0.622985, 0.068588)","(0.570657, 0.069875)","(0.864251, 0.051702)","(0.843342, 0.038183)","(0.639279, 0.073472)",lr
cat_1_2,"(0.837906, 0.036487)","(0.81631, 0.032031)","(0.684857, 0.048038)","(0.877391, 0.060554)","(0.563227, 0.05094)","(0.523276, 0.05431)","(0.877391, 0.060554)","(0.79842, 0.035964)","(0.592967, 0.0674)",lr
cat_1_2_sd,"(0.837607, 0.034972)","(0.8183, 0.029696)","(0.685883, 0.044821)","(0.872947, 0.060362)","(0.566381, 0.047209)","(0.524329, 0.049913)","(0.872947, 0.060362)","(0.802266, 0.033586)","(0.593804, 0.063632)",lr
cat_1_2_3,"(0.838741, 0.032377)","(0.815315, 0.030847)","(0.684893, 0.043209)","(0.881643, 0.054241)","(0.561685, 0.048792)","(0.522763, 0.048985)","(0.881643, 0.054241)","(0.79584, 0.037145)","(0.593572, 0.060635)",lr
complete,"(0.8381, 0.034288)","(0.814319, 0.032909)","(0.683923, 0.046912)","(0.881643, 0.052388)","(0.560182, 0.051783)","(0.521838, 0.053866)","(0.881643, 0.052388)","(0.794557, 0.037705)","(0.592051, 0.065235)",lr
