dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.542069, 0.047149)","(0.324703, 0.014029)","(0.385145, 0.032987)","(0.939034, 0.111155)","(0.242374, 0.018616)","(0.24356, 0.016144)","(0.939034, 0.111155)","(0.145103, 0.020104)","(0.120197, 0.114664)",lr
cat_1_sd,"(0.540236, 0.037876)","(0.314768, 0.014289)","(0.385532, 0.025247)","(0.952077, 0.08517)","(0.241773, 0.014411)","(0.242315, 0.013195)","(0.952077, 0.08517)","(0.128395, 0.014871)","(0.11782, 0.099136)",lr
cat_1_2,"(0.519845, 0.04755)","(0.751756, 0.008905)","(0.128214, 0.138678)","(0.096232, 0.118641)","(0.232885, 0.166777)","(0.244528, 0.033905)","(0.096232, 0.118641)","(0.943457, 0.023691)","(0.035955, 0.123784)",lr
cat_1_2_sd,"(0.511954, 0.042119)","(0.741811, 0.01033)","(0.123082, 0.125679)","(0.091981, 0.102332)","(0.201404, 0.158693)","(0.239788, 0.027966)","(0.091981, 0.102332)","(0.931927, 0.021078)","(0.013355, 0.115038)",lr
cat_1_2_3,"(0.514271, 0.037896)","(0.747776, 0.006909)","(0.121406, 0.119121)","(0.087633, 0.094286)","(0.219808, 0.157938)","(0.239863, 0.025106)","(0.087633, 0.094286)","(0.94091, 0.018945)","(0.023631, 0.108045)",lr
complete,"(0.515007, 0.048653)","(0.74183, 0.014293)","(0.130662, 0.136854)","(0.100676, 0.118699)","(0.211056, 0.170373)","(0.242929, 0.030331)","(0.100676, 0.118699)","(0.929338, 0.025902)","(0.020335, 0.127589)",lr
