dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.532635, 0.040296)","(0.307817, 0.016082)","(0.380842, 0.027245)","(0.943285, 0.091748)","(0.238666, 0.01556)","(0.23944, 0.013834)","(0.943285, 0.091748)","(0.121985, 0.019274)","(0.09994, 0.103905)",lr
cat_1_sd,"(0.535996, 0.033415)","(0.305832, 0.015346)","(0.383683, 0.02207)","(0.956425, 0.076524)","(0.240048, 0.012601)","(0.240436, 0.011851)","(0.956425, 0.076524)","(0.115567, 0.019685)","(0.11013, 0.090717)",lr
cat_1_2,"(0.516666, 0.026999)","(0.665159, 0.188413)","(0.142638, 0.152244)","(0.243671, 0.383495)","(0.193904, 0.172316)","(0.237557, 0.015133)","(0.243671, 0.383495)","(0.789661, 0.353645)","(0.041109, 0.097105)",lr
cat_1_2_sd,"(0.522547, 0.038252)","(0.667159, 0.189615)","(0.158611, 0.165762)","(0.256715, 0.382007)","(0.219301, 0.201155)","(0.244588, 0.02775)","(0.256715, 0.382007)","(0.788379, 0.352937)","(0.055559, 0.123387)",lr
cat_1_2_3,"(0.521902, 0.035761)","(0.666154, 0.191378)","(0.157014, 0.16447)","(0.256715, 0.382007)","(0.204762, 0.189042)","(0.242773, 0.025801)","(0.256715, 0.382007)","(0.787089, 0.355612)","(0.05166, 0.114779)",lr
complete,"(0.521261, 0.037403)","(0.665169, 0.188536)","(0.157344, 0.164927)","(0.256715, 0.382007)","(0.205015, 0.189088)","(0.243026, 0.02576)","(0.256715, 0.382007)","(0.785806, 0.351736)","(0.049275, 0.119814)",lr
