dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.524417, 0.029002)","(0.758647, 0.019236)","(0.150599, 0.079829)","(0.096329, 0.052794)","(0.367602, 0.183514)","(0.248327, 0.028998)","(0.096329, 0.052794)","(0.952506, 0.020101)","(0.085213, 0.105213)",lr
cat_1_sd,"(0.524417, 0.029002)","(0.758647, 0.019236)","(0.150599, 0.079829)","(0.096329, 0.052794)","(0.367602, 0.183514)","(0.248327, 0.028998)","(0.096329, 0.052794)","(0.952506, 0.020101)","(0.085213, 0.105213)",lr
cat_1_2,"(0.523489, 0.033335)","(0.747722, 0.021665)","(0.162609, 0.092483)","(0.11372, 0.071996)","(0.32065, 0.14005)","(0.244503, 0.025665)","(0.11372, 0.071996)","(0.933259, 0.030209)","(0.068787, 0.096329)",lr
cat_1_2_sd,"(0.523489, 0.033335)","(0.747722, 0.021665)","(0.162609, 0.092483)","(0.11372, 0.071996)","(0.32065, 0.14005)","(0.244503, 0.025665)","(0.11372, 0.071996)","(0.933259, 0.030209)","(0.068787, 0.096329)",lr
cat_1_2_3,"(0.522506, 0.032954)","(0.743752, 0.020999)","(0.167974, 0.084645)","(0.118164, 0.066701)","(0.313035, 0.116808)","(0.242977, 0.025809)","(0.118164, 0.066701)","(0.926849, 0.026105)","(0.064901, 0.090676)",lr
complete,"(0.522506, 0.032954)","(0.743752, 0.020999)","(0.167974, 0.084645)","(0.118164, 0.066701)","(0.313035, 0.116808)","(0.242977, 0.025809)","(0.118164, 0.066701)","(0.926849, 0.026105)","(0.064901, 0.090676)",lr
