dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.476135, 0.04814)","(0.518393, 0.033295)","(0.265695, 0.07199)","(0.398937, 0.142873)","(0.201214, 0.046847)","(0.222472, 0.010247)","(0.398937, 0.142873)","(0.553333, 0.068757)","(-0.042254, 0.084494)",lr
cat_1_sd,"(0.487337, 0.048149)","(0.514374, 0.044308)","(0.288451, 0.051369)","(0.438164, 0.099552)","(0.216133, 0.035635)","(0.224818, 0.013927)","(0.438164, 0.099552)","(0.53651, 0.060421)","(-0.021407, 0.081088)",lr
cat_1_2,"(0.49101, 0.044689)","(0.493483, 0.030466)","(0.302508, 0.044732)","(0.48657, 0.080472)","(0.219651, 0.031123)","(0.225492, 0.017216)","(0.48657, 0.080472)","(0.495451, 0.027862)","(-0.015049, 0.075009)",lr
cat_1_2_sd,"(0.484133, 0.047427)","(0.492478, 0.035221)","(0.294317, 0.047947)","(0.468986, 0.085439)","(0.214743, 0.033751)","(0.223595, 0.01652)","(0.468986, 0.085439)","(0.49928, 0.036752)","(-0.026626, 0.079566)",lr
cat_1_2_3,"(0.498635, 0.04837)","(0.493483, 0.031401)","(0.311879, 0.048562)","(0.508213, 0.084441)","(0.225047, 0.034186)","(0.228471, 0.019358)","(0.508213, 0.084441)","(0.489057, 0.023125)","(-0.002171, 0.081129)",lr
complete,"(0.490751, 0.047274)","(0.483548, 0.043531)","(0.306801, 0.041966)","(0.504058, 0.070522)","(0.220788, 0.030707)","(0.225484, 0.016443)","(0.504058, 0.070522)","(0.477444, 0.047111)","(-0.015652, 0.079692)",lr
