dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.877563, 0.037406)","(0.901729, 0.025958)","(0.793455, 0.054305)","(0.83343, 0.060602)","(0.757781, 0.05406)","(0.671965, 0.069533)","(0.83343, 0.060602)","(0.921696, 0.018305)","(0.73091, 0.071614)",lr
cat_1_sd,"(0.883099, 0.035899)","(0.883868, 0.031427)","(0.776229, 0.055566)","(0.881739, 0.052241)","(0.695308, 0.069309)","(0.641823, 0.07403)","(0.881739, 0.052241)","(0.884458, 0.031437)","(0.709598, 0.074835)",lr
cat_1_2,"(0.867669, 0.033679)","(0.860012, 0.030664)","(0.741868, 0.047948)","(0.881739, 0.060756)","(0.643413, 0.061116)","(0.594649, 0.059555)","(0.881739, 0.060756)","(0.853598, 0.037773)","(0.666632, 0.065524)",lr
cat_1_2_sd,"(0.870055, 0.034718)","(0.854066, 0.031734)","(0.737692, 0.04913)","(0.899324, 0.055906)","(0.627589, 0.059517)","(0.588245, 0.060832)","(0.899324, 0.055906)","(0.840786, 0.03608)","(0.662775, 0.067664)",lr
cat_1_2_3,"(0.86724, 0.040561)","(0.852086, 0.032871)","(0.733601, 0.053172)","(0.894976, 0.063458)","(0.622789, 0.054288)","(0.583293, 0.062995)","(0.894976, 0.063458)","(0.839504, 0.031862)","(0.656807, 0.074725)",lr
complete,"(0.872874, 0.030695)","(0.856047, 0.026949)","(0.740696, 0.041392)","(0.903671, 0.048736)","(0.628815, 0.046399)","(0.590994, 0.050484)","(0.903671, 0.048736)","(0.842076, 0.029299)","(0.666857, 0.057716)",lr
