Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
ZNF737,ENSG00000237440,0.7996188739040427,0.2003811260959573,19,
FGF12,ENSG00000114279,0.7996390872373763,0.2003609127626237,3,
ITM2C,ENSG00000135916,0.7996414452220517,0.2003585547779482,2,
NKX1-1,ENSG00000235608,0.7996524836211043,0.2003475163788957,4,
PAGE4,ENSG00000101951,0.7997021601704106,0.2002978398295893,X,
TLE7,ENSG00000260734,0.7997493492554761,0.2002506507445239,16,
RPS6,ENSG00000137154,0.7997804748536216,0.2002195251463784,9,
ATF2,ENSG00000115966,0.7998305235691793,0.2001694764308207,2,
NIBAN3,ENSG00000167483,0.7998426104080905,0.2001573895919095,19,
APOBEC1,ENSG00000111701,0.7998562770675576,0.2001437229324424,12,
TCF21,ENSG00000118526,0.7998918016665658,0.2001081983334341,6,
IFITM5,ENSG00000206013,0.7998969273386374,0.2001030726613625,11,
ZBTB24,ENSG00000112365,0.7999215804277372,0.2000784195722628,6,
OR1L3,ENSG00000171481,0.7999269576538806,0.2000730423461194,9,
AARS2,ENSG00000124608,0.7999299166306215,0.2000700833693784,6,
CFAP91,ENSG00000183833,0.8000361129953356,0.1999638870046643,3,
VAMP4,ENSG00000117533,0.800064990458255,0.199935009541745,1,
FGF21,ENSG00000105550,0.8001005045371857,0.1998994954628143,19,
AK9,ENSG00000155085,0.8001065255110308,0.1998934744889692,6,
UPK1B,ENSG00000114638,0.8001661861770892,0.1998338138229107,3,
LHB,ENSG00000104826,0.8001795571047469,0.1998204428952531,19,
PRPF38B,ENSG00000134186,0.800194352054133,0.1998056479458669,1,
RAP1A,ENSG00000116473,0.8002753819490253,0.1997246180509747,1,
MVK,ENSG00000110921,0.8002895497766349,0.1997104502233651,12,
OR4K14,ENSG00000169484,0.800397607572897,0.1996023924271029,14,
CDC25A,ENSG00000164045,0.8004947590508804,0.1995052409491195,3,
OR10AG1,ENSG00000174970,0.8005045225644697,0.1994954774355303,11,
FLCN,ENSG00000154803,0.8005334635825028,0.1994665364174973,17,
DNAJA3,ENSG00000103423,0.8005460010218677,0.1994539989781323,16,
ZNF33B,ENSG00000196693,0.8005684221649482,0.1994315778350518,10,
INTS9,ENSG00000104299,0.8005829632361849,0.199417036763815,8,
FAM241A,ENSG00000174749,0.8005934710330012,0.1994065289669988,4,
EIF2AK1,ENSG00000086232,0.8006445544280298,0.1993554455719701,7,
PXN,ENSG00000089159,0.8006553291666454,0.1993446708333546,12,
KRT73,ENSG00000186049,0.8006874502089735,0.1993125497910265,12,
PLVAP,ENSG00000130300,0.8007220421481634,0.1992779578518365,19,
TMCO2,ENSG00000188800,0.8007558262389621,0.1992441737610379,1,
CRYBA2,ENSG00000163499,0.8007735171547333,0.1992264828452666,2,
ANKRD40CL,ENSG00000167117,0.8007813864581961,0.1992186135418039,17,
VMA21,ENSG00000160131,0.800784884712769,0.199215115287231,X,
ZSCAN30,ENSG00000186814,0.8008049517781577,0.1991950482218422,18,
IQCE,ENSG00000106012,0.8008712948941954,0.1991287051058045,7,
NUDCD2,ENSG00000170584,0.8009016680408989,0.1990983319591011,5,2.0
CFAP96,ENSG00000205129,0.8009853192643213,0.1990146807356787,4,
MOV10,ENSG00000155363,0.8010171610628295,0.1989828389371705,1,
GABBR1,ENSG00000204681,0.8010372751708372,0.1989627248291628,6,
DLX3,ENSG00000064195,0.8010448575594765,0.1989551424405234,17,2.0
HDAC3,ENSG00000171720,0.8010924222533227,0.1989075777466774,5,
R3HDM2,ENSG00000179912,0.8011022368399888,0.1988977631600112,12,
CDKN2B,ENSG00000147883,0.8011309979403882,0.1988690020596117,9,
OR2Y1,ENSG00000174339,0.8012042734850409,0.1987957265149591,5,
CPT1B,ENSG00000205560,0.8012507074269452,0.1987492925730548,22,
PARP12,ENSG00000059378,0.8012650939589481,0.1987349060410519,7,
ZRANB2,ENSG00000132485,0.801270716540638,0.198729283459362,1,
CXADR,ENSG00000154639,0.8012977173155069,0.1987022826844931,21,
CHRM4,ENSG00000180720,0.8013194614411614,0.1986805385588386,11,
PSMB11,ENSG00000222028,0.8013365479691128,0.1986634520308871,14,
AGO2,ENSG00000123908,0.8013583130526466,0.1986416869473534,8,2.0
SRGAP2B,ENSG00000196369,0.801379576497534,0.198620423502466,1,
LIPM,ENSG00000173239,0.8013807156764029,0.198619284323597,10,
OR6C70,ENSG00000184954,0.8014072385612726,0.1985927614387274,12,
THAP6,ENSG00000174796,0.8014118194336249,0.198588180566375,4,
SPAG17,ENSG00000155761,0.8014166251882638,0.1985833748117361,1,
LRWD1,ENSG00000161036,0.8014462711712316,0.1985537288287684,7,
FGFBP2,ENSG00000137441,0.8014478990898337,0.1985521009101663,4,
OR2T3,ENSG00000196539,0.8014525159769714,0.1985474840230286,1,
MOB3A,ENSG00000172081,0.8014961809242694,0.1985038190757305,19,
CCDC25,ENSG00000147419,0.8015103204690571,0.1984896795309429,8,
OR5H15,ENSG00000233412,0.8015148282087845,0.1984851717912155,3,
UPK3BL2,ENSG00000284981,0.8015870780011812,0.1984129219988187,7,
CGB2,ENSG00000104818,0.8016076455682829,0.1983923544317171,19,
RTF2,ENSG00000022277,0.8016140490792503,0.1983859509207497,20,
RPS4Y2,ENSG00000280969,0.8016510829542767,0.1983489170457233,Y,
ZNF470,ENSG00000197016,0.8016530403497164,0.1983469596502835,19,
DNLZ,ENSG00000213221,0.8016640412389557,0.1983359587610443,9,
BTF3L4,ENSG00000134717,0.8016900275686736,0.1983099724313264,1,
PRDM11,ENSG00000019485,0.8017151144378376,0.1982848855621623,11,
FMR1NB,ENSG00000176988,0.8017279633801218,0.1982720366198782,X,
MRPL15,ENSG00000137547,0.8018008920153137,0.1981991079846862,8,
PLA2G3,ENSG00000100078,0.8018234284507167,0.1981765715492832,22,
RPL21,ENSG00000122026,0.8018458925067352,0.1981541074932648,13,
PHETA2,ENSG00000177096,0.8018614243418379,0.198138575658162,22,
GCNT1,ENSG00000187210,0.801861982287569,0.198138017712431,9,
UFSP2,ENSG00000109775,0.8018757376677504,0.1981242623322495,4,
NT5C1B-RDH14,ENSG00000250741,0.8019008518820533,0.1980991481179467,2,
RIPPLY3,ENSG00000183145,0.8019075561418738,0.1980924438581262,21,
GDI2,ENSG00000057608,0.80195739848535,0.19804260151465,10,
PITX3,ENSG00000107859,0.8019693096063909,0.1980306903936091,10,
GABRA1,ENSG00000022355,0.8020517926253254,0.1979482073746745,5,
SOX15,ENSG00000129194,0.8021065027207352,0.1978934972792647,17,
