dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.801237, 0.035508)","(0.868194, 0.013793)","(0.697274, 0.047583)","(0.679324, 0.078041)","(0.721492, 0.024739)","(0.562738, 0.046034)","(0.679324, 0.078041)","(0.92315, 0.012931)","(0.615508, 0.050557)",nn
cat_1_sd,"(0.802988, 0.035741)","(0.834501, 0.027338)","(0.670911, 0.051082)","(0.745507, 0.058753)","(0.61168, 0.05698)","(0.515347, 0.057038)","(0.745507, 0.058753)","(0.860469, 0.026185)","(0.567783, 0.068836)",nn
cat_1_2,"(0.77124, 0.019936)","(0.696714, 0.024117)","(0.57516, 0.022642)","(0.90744, 0.04367)","(0.421531, 0.020701)","(0.403479, 0.022289)","(0.90744, 0.04367)","(0.63504, 0.035737)","(0.45502, 0.034227)",nn
cat_1_2_sd,"(0.7667, 0.011562)","(0.679878, 0.007522)","(0.566269, 0.010879)","(0.925217, 0.030519)","(0.408079, 0.00672)","(0.39454, 0.010359)","(0.925217, 0.030519)","(0.608182, 0.013996)","(0.44657, 0.01994)",nn
cat_1_2_3,"(0.748126, 0.022376)","(0.663041, 0.032596)","(0.548755, 0.025524)","(0.903382, 0.022948)","(0.394575, 0.025188)","(0.378347, 0.024131)","(0.903382, 0.022948)","(0.592871, 0.04258)","(0.416289, 0.036867)",nn
complete,"(0.751743, 0.032746)","(0.659101, 0.062724)","(0.553454, 0.04276)","(0.920773, 0.051377)","(0.398774, 0.050442)","(0.38368, 0.040968)","(0.920773, 0.051377)","(0.582713, 0.090596)","(0.427378, 0.056459)",nn
