dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.79077, 0.043591)","(0.853772, 0.023933)","(0.674717, 0.055124)","(0.675486, 0.101342)","(0.688136, 0.072427)","(0.536571, 0.057583)","(0.675486, 0.101342)","(0.906055, 0.034943)","(0.586241, 0.067816)",knn_scaled
cat_1_sd,"(0.815448, 0.04268)","(0.840032, 0.038329)","(0.687507, 0.060832)","(0.77049, 0.078677)","(0.62724, 0.079101)","(0.535972, 0.068643)","(0.77049, 0.078677)","(0.860405, 0.047807)","(0.591288, 0.083004)",knn_scaled
cat_1_2,"(0.71795, 0.026581)","(0.606481, 0.033101)","(0.515843, 0.024785)","(0.922017, 0.029616)","(0.358371, 0.021701)","(0.348388, 0.022118)","(0.922017, 0.029616)","(0.513884, 0.041888)","(0.370965, 0.042272)",knn_scaled
cat_1_2_sd,"(0.706207, 0.011918)","(0.574085, 0.018076)","(0.502427, 0.009584)","(0.948011, 0.022245)","(0.341889, 0.008442)","(0.335882, 0.008352)","(0.948011, 0.022245)","(0.464404, 0.027101)","(0.357869, 0.0185)",knn_scaled
cat_1_2_3,"(0.695394, 0.011985)","(0.557413, 0.013135)","(0.492692, 0.010631)","(0.947919, 0.022297)","(0.332883, 0.007768)","(0.327427, 0.009014)","(0.947919, 0.022297)","(0.442869, 0.018345)","(0.342355, 0.021045)",knn_scaled
complete,"(0.693408, 0.013782)","(0.54958, 0.019464)","(0.490701, 0.011557)","(0.956614, 0.023899)","(0.330083, 0.009434)","(0.325622, 0.009883)","(0.956614, 0.023899)","(0.430202, 0.02788)","(0.341702, 0.022113)",knn_scaled
