dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.725005, 0.042704)","(0.841062, 0.027129)","(0.592653, 0.074325)","(0.512947, 0.072172)","(0.702763, 0.075645)","(0.475924, 0.070137)","(0.512947, 0.072172)","(0.937064, 0.015051)","(0.50674, 0.089421)",knn
cat_1_sd,"(0.730294, 0.065066)","(0.818191, 0.041612)","(0.583603, 0.097619)","(0.569662, 0.119968)","(0.6079, 0.090626)","(0.450185, 0.088282)","(0.569662, 0.119968)","(0.890926, 0.03685)","(0.471574, 0.119922)",knn
cat_1_2,"(0.710847, 0.023434)","(0.62956, 0.021077)","(0.512499, 0.024422)","(0.85942, 0.033914)","(0.365227, 0.019592)","(0.346199, 0.020652)","(0.85942, 0.033914)","(0.562275, 0.020487)","(0.353968, 0.040094)",knn
cat_1_2_sd,"(0.71262, 0.023296)","(0.610674, 0.02441)","(0.511452, 0.02372)","(0.898937, 0.030248)","(0.357549, 0.019522)","(0.344677, 0.020869)","(0.898937, 0.030248)","(0.526303, 0.026608)","(0.359748, 0.039394)",knn
cat_1_2_3,"(0.714309, 0.019396)","(0.615669, 0.024394)","(0.513494, 0.019983)","(0.894589, 0.026055)","(0.360298, 0.017196)","(0.346344, 0.017476)","(0.894589, 0.026055)","(0.534028, 0.030326)","(0.362034, 0.032277)",knn
complete,"(0.70424, 0.020201)","(0.592813, 0.024126)","(0.502755, 0.019628)","(0.907826, 0.016711)","(0.34776, 0.016629)","(0.336787, 0.016823)","(0.907826, 0.016711)","(0.500653, 0.026774)","(0.347892, 0.032825)",knn
