dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.816461, 0.060806)","(0.883804, 0.028754)","(0.724773, 0.083356)","(0.693237, 0.122793)","(0.769586, 0.045124)","(0.605925, 0.089073)","(0.693237, 0.122793)","(0.939686, 0.014329)","(0.656464, 0.093977)",knn
cat_1_sd,"(0.830758, 0.045957)","(0.869908, 0.022902)","(0.723203, 0.054796)","(0.759034, 0.099092)","(0.697921, 0.047523)","(0.584512, 0.061973)","(0.759034, 0.099092)","(0.902481, 0.024683)","(0.642839, 0.068728)",knn
cat_1_2,"(0.797363, 0.019097)","(0.729915, 0.02176)","(0.607171, 0.021548)","(0.920773, 0.039126)","(0.453423, 0.020246)","(0.435486, 0.022117)","(0.920773, 0.039126)","(0.673954, 0.031107)","(0.500217, 0.032158)",knn
cat_1_2_sd,"(0.782906, 0.026006)","(0.705054, 0.032159)","(0.587863, 0.032164)","(0.925217, 0.023159)","(0.43127, 0.031318)","(0.41637, 0.032407)","(0.925217, 0.023159)","(0.640596, 0.037968)","(0.474611, 0.045456)",knn
cat_1_2_3,"(0.777984, 0.018529)","(0.695123, 0.024502)","(0.580405, 0.021621)","(0.929565, 0.035766)","(0.422415, 0.021356)","(0.408606, 0.021591)","(0.929565, 0.035766)","(0.626402, 0.035208)","(0.466371, 0.031914)",knn
complete,"(0.770236, 0.017905)","(0.678247, 0.028828)","(0.569896, 0.021577)","(0.938454, 0.021842)","(0.409689, 0.022744)","(0.398301, 0.021046)","(0.938454, 0.021842)","(0.602018, 0.039883)","(0.453767, 0.029776)",knn
