dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.682736, 0.096904)","(0.837121, 0.03342)","(0.485951, 0.218867)","(0.400097, 0.218513)","(0.776231, 0.100405)","(0.44866, 0.111387)","(0.400097, 0.218513)","(0.965376, 0.029949)","(0.458157, 0.174969)",knn
cat_1_sd,"(0.705674, 0.096214)","(0.82025, 0.034417)","(0.526797, 0.171481)","(0.496039, 0.232825)","(0.631846, 0.14525)","(0.437648, 0.096209)","(0.496039, 0.232825)","(0.91531, 0.056346)","(0.44632, 0.168902)",knn
cat_1_2,"(0.658808, 0.009979)","(0.481622, 0.019683)","(0.462014, 0.009907)","(0.982512, 0.016295)","(0.302128, 0.008983)","(0.300762, 0.008442)","(0.982512, 0.016295)","(0.335103, 0.026907)","(0.302252, 0.014773)",knn
cat_1_2_sd,"(0.654953, 0.011006)","(0.475661, 0.020221)","(0.45918, 0.010198)","(0.982512, 0.016295)","(0.299703, 0.00902)","(0.298393, 0.008651)","(0.982512, 0.016295)","(0.327395, 0.027275)","(0.297088, 0.016323)",knn
cat_1_2_3,"(0.635789, 0.017415)","(0.438885, 0.025656)","(0.445783, 0.014696)","(0.995556, 0.008889)","(0.287273, 0.01171)","(0.287054, 0.011978)","(0.995556, 0.008889)","(0.276022, 0.030046)","(0.276699, 0.02688)",knn
complete,"(0.631938, 0.018132)","(0.432924, 0.026542)","(0.443191, 0.015049)","(0.995556, 0.008889)","(0.285128, 0.01194)","(0.284923, 0.012204)","(0.995556, 0.008889)","(0.268321, 0.030972)","(0.271558, 0.028199)",knn
