dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.518203, 0.030101)","(0.765608, 0.017739)","(0.100365, 0.111687)","(0.065894, 0.073222)","(0.225063, 0.249523)","(0.243771, 0.030475)","(0.065894, 0.073222)","(0.970513, 0.030769)","(0.059473, 0.107654)",knn
cat_1_sd,"(0.518203, 0.030101)","(0.765608, 0.017739)","(0.100365, 0.111687)","(0.065894, 0.073222)","(0.225063, 0.249523)","(0.243771, 0.030475)","(0.065894, 0.073222)","(0.970513, 0.030769)","(0.059473, 0.107654)",knn
cat_1_2,"(0.506325, 0.015485)","(0.773607, 0.012763)","(0.033696, 0.048659)","(0.017778, 0.025915)","(0.4, 0.489898)","(0.24021, 0.018415)","(0.017778, 0.025915)","(0.994872, 0.010256)","(0.056732, 0.109292)",knn
cat_1_2_sd,"(0.51987, 0.024743)","(0.775587, 0.009742)","(0.085309, 0.097698)","(0.05256, 0.065377)","(0.5, 0.447214)","(0.249681, 0.021479)","(0.05256, 0.065377)","(0.987179, 0.019861)","(0.099393, 0.109247)",knn
cat_1_2_3,"(0.506871, 0.016111)","(0.769637, 0.012729)","(0.049333, 0.04815)","(0.02657, 0.025933)","(0.38, 0.370945)","(0.239505, 0.018251)","(0.02657, 0.025933)","(0.987171, 0.00906)","(0.045978, 0.109181)",knn
complete,"(0.503024, 0.010733)","(0.763667, 0.006998)","(0.046556, 0.04392)","(0.02657, 0.025933)","(0.246667, 0.208273)","(0.230616, 0.002659)","(0.02657, 0.025933)","(0.979479, 0.011018)","(0.011511, 0.063586)",knn
