dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.498077, 0.002564)","(0.770612, 0.004506)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.226412, 0.002108)","(0.0, 0.0)","(0.996154, 0.005128)","(-0.018456, 0.023186)",knn
cat_1_sd,"(0.499359, 0.001282)","(0.772592, 0.001835)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.226412, 0.002108)","(0.0, 0.0)","(0.998718, 0.002564)","(-0.007596, 0.015191)",knn
cat_1_2,"(0.496544, 0.026281)","(0.746791, 0.014703)","(0.059259, 0.086384)","(0.039324, 0.058992)","(0.126797, 0.16646)","(0.231965, 0.012484)","(0.039324, 0.058992)","(0.953763, 0.019266)","(-0.030258, 0.09135)",knn
cat_1_2_sd,"(0.499371, 0.035292)","(0.748791, 0.022378)","(0.067274, 0.101643)","(0.043671, 0.067357)","(0.151111, 0.209597)","(0.236988, 0.022477)","(0.043671, 0.067357)","(0.95507, 0.021453)","(-0.017982, 0.120693)",knn
cat_1_2_3,"(0.495898, 0.025127)","(0.745796, 0.01419)","(0.058565, 0.085076)","(0.039324, 0.058992)","(0.122222, 0.158698)","(0.231268, 0.011106)","(0.039324, 0.058992)","(0.952473, 0.020616)","(-0.032832, 0.0868)",knn
complete,"(0.493971, 0.025693)","(0.742821, 0.017805)","(0.057892, 0.08381)","(0.039324, 0.058992)","(0.118129, 0.151885)","(0.230645, 0.009878)","(0.039324, 0.058992)","(0.948619, 0.025094)","(-0.037678, 0.085453)",knn
