dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.706034, 0.064562)","(0.789473, 0.039096)","(0.537652, 0.097664)","(0.553333, 0.143129)","(0.541779, 0.097289)","(0.405197, 0.074397)","(0.553333, 0.143129)","(0.858734, 0.051013)","(0.409878, 0.116721)",knn
cat_1_sd,"(0.705272, 0.069854)","(0.778602, 0.035169)","(0.5285, 0.102421)","(0.571014, 0.168828)","(0.510313, 0.064542)","(0.393467, 0.069364)","(0.571014, 0.168828)","(0.839529, 0.055762)","(0.395118, 0.113771)",knn
cat_1_2,"(0.703994, 0.015202)","(0.589887, 0.020656)","(0.50204, 0.012191)","(0.912464, 0.030479)","(0.346499, 0.011098)","(0.336005, 0.010373)","(0.912464, 0.030479)","(0.495525, 0.030182)","(0.348556, 0.024356)",knn
cat_1_2_sd,"(0.693227, 0.014776)","(0.582961, 0.02294)","(0.493158, 0.012415)","(0.894783, 0.008218)","(0.340523, 0.012182)","(0.328498, 0.010524)","(0.894783, 0.008218)","(0.491671, 0.030717)","(0.329762, 0.02167)",knn
cat_1_2_3,"(0.694116, 0.018694)","(0.565061, 0.026515)","(0.492329, 0.015878)","(0.929952, 0.021011)","(0.33497, 0.014199)","(0.327417, 0.013573)","(0.929952, 0.021011)","(0.45828, 0.034993)","(0.336776, 0.028303)",knn
complete,"(0.691798, 0.022782)","(0.559096, 0.033949)","(0.490352, 0.019894)","(0.9343, 0.023645)","(0.33269, 0.017764)","(0.325749, 0.016992)","(0.9343, 0.023645)","(0.449297, 0.044795)","(0.334488, 0.034129)",knn
