dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.777684, 0.026921)","(0.859982, 0.015481)","(0.669131, 0.041827)","(0.627246, 0.049219)","(0.718157, 0.036753)","(0.536203, 0.043984)","(0.627246, 0.049219)","(0.928122, 0.009355)","(0.583396, 0.049808)",knn
cat_1_sd,"(0.797048, 0.017344)","(0.842082, 0.01574)","(0.672251, 0.025034)","(0.714783, 0.042677)","(0.637615, 0.040481)","(0.519717, 0.029823)","(0.714783, 0.042677)","(0.879313, 0.024895)","(0.571918, 0.032603)",knn
cat_1_2,"(0.748536, 0.01288)","(0.685173, 0.016759)","(0.554419, 0.012833)","(0.864251, 0.020117)","(0.408361, 0.013883)","(0.383667, 0.011748)","(0.864251, 0.020117)","(0.632821, 0.022712)","(0.416666, 0.021053)",knn
cat_1_2_sd,"(0.757344, 0.018209)","(0.677218, 0.023594)","(0.559532, 0.021021)","(0.903671, 0.02163)","(0.405566, 0.021184)","(0.388422, 0.020364)","(0.903671, 0.02163)","(0.611017, 0.029693)","(0.431293, 0.030861)",knn
cat_1_2_3,"(0.749482, 0.015566)","(0.665292, 0.024512)","(0.550521, 0.018995)","(0.903382, 0.01814)","(0.39623, 0.019401)","(0.379786, 0.01775)","(0.903382, 0.01814)","(0.595583, 0.033123)","(0.418538, 0.026335)",knn
complete,"(0.743242, 0.023192)","(0.655367, 0.028577)","(0.543376, 0.023789)","(0.903671, 0.032171)","(0.388886, 0.021682)","(0.373456, 0.021821)","(0.903671, 0.032171)","(0.582812, 0.035864)","(0.408357, 0.037785)",knn
