dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.664658, 0.055593)","(0.792434, 0.029033)","(0.468032, 0.115314)","(0.430821, 0.145587)","(0.610084, 0.147113)","(0.375423, 0.04671)","(0.430821, 0.145587)","(0.898495, 0.054899)","(0.372679, 0.075104)",knn
cat_1_sd,"(0.703271, 0.046455)","(0.780577, 0.022305)","(0.529427, 0.064324)","(0.561836, 0.141052)","(0.521103, 0.037287)","(0.390114, 0.036874)","(0.561836, 0.141052)","(0.844706, 0.058311)","(0.397504, 0.06209)",knn
cat_1_2,"(0.705948, 0.037783)","(0.624664, 0.036091)","(0.506595, 0.033724)","(0.854783, 0.113368)","(0.362044, 0.023947)","(0.342733, 0.027997)","(0.854783, 0.113368)","(0.557113, 0.066683)","(0.349947, 0.066256)",knn
cat_1_2_sd,"(0.696145, 0.03718)","(0.589882, 0.03508)","(0.49508, 0.033062)","(0.890338, 0.095263)","(0.343895, 0.022258)","(0.331865, 0.026972)","(0.890338, 0.095263)","(0.501952, 0.056755)","(0.336279, 0.064529)",knn
cat_1_2_3,"(0.693087, 0.030064)","(0.577937, 0.025606)","(0.491645, 0.026694)","(0.903478, 0.079741)","(0.338352, 0.017689)","(0.328151, 0.02226)","(0.903478, 0.079741)","(0.482696, 0.042696)","(0.332623, 0.054279)",knn
complete,"(0.693345, 0.023191)","(0.55712, 0.029064)","(0.490963, 0.020989)","(0.942512, 0.047995)","(0.33223, 0.016219)","(0.326317, 0.017911)","(0.942512, 0.047995)","(0.444177, 0.041801)","(0.339148, 0.040811)",knn
