dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.734451, 0.035803)","(0.834151, 0.015978)","(0.598967, 0.053185)","(0.552367, 0.075393)","(0.658812, 0.031794)","(0.466618, 0.046065)","(0.552367, 0.075393)","(0.916534, 0.01169)","(0.500025, 0.057892)",knn
cat_1_sd,"(0.782992, 0.034785)","(0.82524, 0.019014)","(0.645443, 0.045045)","(0.705894, 0.068637)","(0.596027, 0.033409)","(0.488822, 0.044552)","(0.705894, 0.068637)","(0.860091, 0.015264)","(0.534731, 0.058034)",knn
cat_1_2,"(0.714571, 0.023176)","(0.649431, 0.01726)","(0.518232, 0.020301)","(0.833527, 0.052491)","(0.376362, 0.014321)","(0.351802, 0.016222)","(0.833527, 0.052491)","(0.595616, 0.024962)","(0.359679, 0.038614)",knn
cat_1_2_sd,"(0.703271, 0.018728)","(0.629585, 0.012231)","(0.505734, 0.015117)","(0.837874, 0.046895)","(0.362414, 0.00916)","(0.340626, 0.011868)","(0.837874, 0.046895)","(0.568668, 0.020604)","(0.341045, 0.031502)",knn
cat_1_2_3,"(0.708854, 0.015499)","(0.62857, 0.014237)","(0.510465, 0.013556)","(0.855459, 0.034894)","(0.363968, 0.010799)","(0.344227, 0.011128)","(0.855459, 0.034894)","(0.56225, 0.020607)","(0.350644, 0.025986)",knn
complete,"(0.705661, 0.013402)","(0.611694, 0.012626)","(0.505648, 0.01253)","(0.877295, 0.032692)","(0.355352, 0.010036)","(0.339631, 0.010672)","(0.877295, 0.032692)","(0.534028, 0.018995)","(0.347035, 0.023399)",knn
