dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.817322, 0.034872)","(0.842446, 0.028637)","(0.689485, 0.051671)","(0.771594, 0.050845)","(0.624173, 0.056788)","(0.53531, 0.058544)","(0.771594, 0.050845)","(0.863049, 0.02641)","(0.592058, 0.069463)",lr
cat_1_sd,"(0.819047, 0.036239)","(0.823624, 0.036587)","(0.676974, 0.054076)","(0.810918, 0.05299)","(0.583616, 0.06473)","(0.517284, 0.062721)","(0.810918, 0.05299)","(0.827176, 0.042564)","(0.576492, 0.073309)",lr
cat_1_2,"(0.773972, 0.035638)","(0.727467, 0.027696)","(0.587614, 0.039655)","(0.859034, 0.059847)","(0.4469, 0.032107)","(0.417102, 0.038122)","(0.859034, 0.059847)","(0.688911, 0.027017)","(0.462879, 0.061064)",lr
cat_1_2_sd,"(0.772257, 0.035278)","(0.717551, 0.028778)","(0.582786, 0.039304)","(0.872271, 0.057438)","(0.437898, 0.032193)","(0.412145, 0.03937)","(0.872271, 0.057438)","(0.672244, 0.028986)","(0.458329, 0.060616)",lr
cat_1_2_3,"(0.773141, 0.024532)","(0.716566, 0.015519)","(0.582548, 0.024679)","(0.876618, 0.05789)","(0.436691, 0.017211)","(0.4111, 0.024459)","(0.876618, 0.05789)","(0.669664, 0.023351)","(0.45962, 0.040941)",lr
complete,"(0.774783, 0.021008)","(0.716571, 0.016954)","(0.584118, 0.022286)","(0.881159, 0.046275)","(0.437263, 0.018189)","(0.4124, 0.02196)","(0.881159, 0.046275)","(0.668406, 0.023623)","(0.462125, 0.035827)",lr
