dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.872165, 0.032027)","(0.91759, 0.016682)","(0.811672, 0.041918)","(0.789275, 0.063102)","(0.837787, 0.034601)","(0.709703, 0.052903)","(0.789275, 0.063102)","(0.955054, 0.010816)","(0.760458, 0.051536)",lr
cat_1_sd,"(0.898304, 0.034261)","(0.914635, 0.022129)","(0.82149, 0.047451)","(0.868502, 0.059911)","(0.780307, 0.045227)","(0.7093, 0.06453)","(0.868502, 0.059911)","(0.928106, 0.015943)","(0.768017, 0.062328)",lr
cat_1_2,"(0.881298, 0.018077)","(0.861977, 0.024165)","(0.751874, 0.031062)","(0.916715, 0.028736)","(0.638898, 0.043336)","(0.604382, 0.040149)","(0.916715, 0.028736)","(0.845881, 0.033169)","(0.682527, 0.039931)",lr
cat_1_2_sd,"(0.880614, 0.018953)","(0.856012, 0.021048)","(0.745178, 0.028016)","(0.925604, 0.032283)","(0.624743, 0.035831)","(0.595143, 0.035581)","(0.925604, 0.032283)","(0.835624, 0.027851)","(0.67545, 0.037292)",lr
cat_1_2_3,"(0.875114, 0.021741)","(0.850052, 0.031965)","(0.737843, 0.038195)","(0.921063, 0.029486)","(0.617706, 0.052091)","(0.586547, 0.047853)","(0.921063, 0.029486)","(0.829165, 0.043805)","(0.66564, 0.048332)",lr
complete,"(0.869401, 0.017995)","(0.841121, 0.022614)","(0.7252, 0.027387)","(0.921159, 0.029239)","(0.599083, 0.035071)","(0.569661, 0.033882)","(0.921159, 0.029239)","(0.817643, 0.030789)","(0.649894, 0.036072)",lr
