dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.886693, 0.027087)","(0.920585, 0.016456)","(0.824319, 0.038065)","(0.824734, 0.047126)","(0.824207, 0.030145)","(0.720775, 0.050843)","(0.824734, 0.047126)","(0.948652, 0.008109)","(0.773143, 0.048459)",lr
cat_1_sd,"(0.904874, 0.031991)","(0.917615, 0.022181)","(0.829105, 0.046257)","(0.881643, 0.054241)","(0.783559, 0.049668)","(0.719265, 0.065254)","(0.881643, 0.054241)","(0.928106, 0.017886)","(0.777987, 0.061009)",lr
cat_1_2,"(0.878053, 0.007377)","(0.856992, 0.013213)","(0.744217, 0.014107)","(0.916618, 0.016756)","(0.627067, 0.023244)","(0.593397, 0.017997)","(0.916618, 0.016756)","(0.839487, 0.020358)","(0.672903, 0.017418)",lr
cat_1_2_sd,"(0.874453, 0.01038)","(0.849047, 0.012917)","(0.734567, 0.01593)","(0.920966, 0.018036)","(0.611326, 0.020739)","(0.580857, 0.020023)","(0.920966, 0.018036)","(0.82794, 0.017899)","(0.661445, 0.020922)",lr
cat_1_2_3,"(0.865844, 0.014842)","(0.838121, 0.023705)","(0.720651, 0.026761)","(0.916618, 0.025668)","(0.595178, 0.038255)","(0.564053, 0.03321)","(0.916618, 0.025668)","(0.81507, 0.034324)","(0.643657, 0.033385)",lr
complete,"(0.871782, 0.00822)","(0.840106, 0.015965)","(0.725353, 0.016478)","(0.929758, 0.016622)","(0.595336, 0.025072)","(0.569144, 0.020405)","(0.929758, 0.016622)","(0.813805, 0.024206)","(0.651476, 0.019691)",lr
