dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.852137, 0.028684)","(0.855022, 0.018651)","(0.725403, 0.032998)","(0.846763, 0.071102)","(0.638298, 0.039992)","(0.574486, 0.038724)","(0.846763, 0.071102)","(0.85751, 0.030442)","(0.643924, 0.04399)",lr
cat_1_sd,"(0.848712, 0.035101)","(0.840131, 0.023518)","(0.709821, 0.041799)","(0.864348, 0.076757)","(0.605118, 0.043027)","(0.55412, 0.048197)","(0.864348, 0.076757)","(0.833077, 0.031408)","(0.624938, 0.057888)",lr
cat_1_2,"(0.836866, 0.034259)","(0.81231, 0.023825)","(0.680009, 0.039141)","(0.881739, 0.073319)","(0.555241, 0.03524)","(0.517013, 0.043264)","(0.881739, 0.073319)","(0.791993, 0.03114)","(0.588486, 0.056244)",lr
cat_1_2_sd,"(0.837109, 0.025944)","(0.81032, 0.026243)","(0.679794, 0.034171)","(0.886087, 0.05374)","(0.553321, 0.039794)","(0.516072, 0.039232)","(0.886087, 0.05374)","(0.788131, 0.036898)","(0.58817, 0.046829)",lr
cat_1_2_3,"(0.839243, 0.022507)","(0.811305, 0.024259)","(0.681866, 0.029857)","(0.890338, 0.05154)","(0.55445, 0.036992)","(0.518128, 0.034318)","(0.890338, 0.05154)","(0.788147, 0.036318)","(0.591577, 0.040496)",lr
complete,"(0.837659, 0.026306)","(0.806349, 0.027983)","(0.677658, 0.036021)","(0.894879, 0.046141)","(0.546785, 0.041002)","(0.513387, 0.041612)","(0.894879, 0.046141)","(0.780438, 0.036471)","(0.586305, 0.049106)",lr
