Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
WFDC10B,ENSG00000182931,0.970725160882714,0.0292748391172859,20,
SPATA6L,ENSG00000106686,0.9707260804211308,0.0292739195788692,9,
PCK2,ENSG00000100889,0.9707284029645272,0.0292715970354728,14,
IRF9,ENSG00000213928,0.9707306467961696,0.0292693532038303,14,
ULBP3,ENSG00000131019,0.9707368243698332,0.0292631756301668,6,
OR2G2,ENSG00000177489,0.970754161623668,0.029245838376332,1,
PVALEF,ENSG00000225180,0.9707578028715048,0.0292421971284951,17,
CUZD1,ENSG00000138161,0.9707646838574944,0.0292353161425056,10,
APOBEC3C,ENSG00000244509,0.970773400338668,0.0292265996613319,22,
OR1Q1,ENSG00000165202,0.970796720113839,0.0292032798861611,9,
BTN2A2,ENSG00000124508,0.9708045527215556,0.0291954472784442,6,
SERINC5,ENSG00000164300,0.9708065508440744,0.0291934491559258,5,
CA4,ENSG00000167434,0.9708242155062512,0.0291757844937488,17,
SLC17A4,ENSG00000146039,0.9708269631857362,0.0291730368142638,6,
TNFRSF8,ENSG00000120949,0.9708272434102644,0.0291727565897357,1,
IL4,ENSG00000113520,0.9708294384130224,0.0291705615869773,5,
MMP12,ENSG00000262406,0.9708331716864222,0.0291668283135776,11,
OR6T1,ENSG00000181499,0.9708406180045256,0.0291593819954742,11,
TAAR8,ENSG00000146385,0.9708512257881852,0.0291487742118149,6,
ID3,ENSG00000117318,0.9708563241376764,0.0291436758623235,1,
PMF1,ENSG00000160783,0.9708611960340648,0.0291388039659351,1,
SERPINC1,ENSG00000117601,0.9708794866180296,0.0291205133819705,1,
CCR2,ENSG00000121807,0.9708840976995504,0.0291159023004497,3,
TCP10L,ENSG00000242220,0.9708855184821744,0.0291144815178253,21,
PRG2,ENSG00000186652,0.9708856923948328,0.0291143076051674,11,
FCER1G,ENSG00000158869,0.9709055658820616,0.0290944341179383,1,
TMC4,ENSG00000167608,0.9709083376554816,0.0290916623445182,19,
CCR10,ENSG00000184451,0.9709195078249506,0.0290804921750494,17,
PLAC1,ENSG00000170965,0.9709378666346457,0.0290621333653542,X,
TMEM247,ENSG00000284701,0.97094800773603,0.02905199226397,2,
OR2C3,ENSG00000196242,0.9709527396018108,0.0290472603981893,1,
CFAP100,ENSG00000163885,0.970955857438788,0.029044142561212,3,
GATD3,ENSG00000160221,0.9709587901412244,0.0290412098587755,21,
TMEM179B,ENSG00000185475,0.9709685576101376,0.0290314423898622,11,
SNTN,ENSG00000188817,0.97097586615355,0.0290241338464499,3,
OR5AR1,ENSG00000172459,0.9709962183458638,0.0290037816541363,11,
OR10G4,ENSG00000254737,0.9710062234267122,0.0289937765732877,11,
DEFB119,ENSG00000180483,0.971035430308455,0.0289645696915449,20,
KRT78,ENSG00000170423,0.9710436063613932,0.0289563936386067,12,
OR2B3,ENSG00000204703,0.9710502237406408,0.0289497762593592,6,
ALOX5AP,ENSG00000132965,0.97109894609865,0.02890105390135,13,
CGB1,ENSG00000267631,0.9711111499881148,0.0288888500118851,19,
