dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.816235, 0.018211)","(0.839037, 0.032394)","(0.68854, 0.039159)","(0.774653, 0.033734)","(0.625899, 0.074822)","(0.53438, 0.050209)","(0.774653, 0.033734)","(0.857817, 0.047473)","(0.591676, 0.053818)",lr
cat_1_sd,"(0.823976, 0.012709)","(0.803709, 0.016949)","(0.665751, 0.013359)","(0.86124, 0.054664)","(0.545089, 0.029009)","(0.499649, 0.015799)","(0.86124, 0.054664)","(0.786713, 0.035886)","(0.567324, 0.018477)",lr
cat_1_2,"(0.799248, 0.025936)","(0.748773, 0.023483)","(0.617069, 0.029222)","(0.891674, 0.043669)","(0.472243, 0.026665)","(0.446175, 0.029194)","(0.891674, 0.043669)","(0.706821, 0.027316)","(0.507019, 0.044854)",lr
cat_1_2_sd,"(0.78413, 0.018095)","(0.730107, 0.026343)","(0.598203, 0.023293)","(0.883071, 0.022369)","(0.452915, 0.026329)","(0.426436, 0.023516)","(0.883071, 0.022369)","(0.685189, 0.035681)","(0.479953, 0.032763)",lr
cat_1_2_3,"(0.790116, 0.026429)","(0.737013, 0.02837)","(0.605422, 0.030842)","(0.887327, 0.035067)","(0.459952, 0.029415)","(0.434162, 0.03045)","(0.887327, 0.035067)","(0.692905, 0.033036)","(0.490389, 0.046064)",lr
complete,"(0.792392, 0.025491)","(0.731126, 0.028996)","(0.604865, 0.029589)","(0.904625, 0.032799)","(0.454786, 0.028588)","(0.433445, 0.029473)","(0.904625, 0.032799)","(0.680158, 0.035521)","(0.492859, 0.044197)",lr
