dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.667587, 0.03862)","(0.806684, 0.02944)","(0.491605, 0.070102)","(0.414948, 0.058363)","(0.605087, 0.096307)","(0.387436, 0.052972)","(0.414948, 0.058363)","(0.920226, 0.022933)","(0.387913, 0.09182)",knn
cat_1_sd,"(0.70001, 0.058082)","(0.789969, 0.045711)","(0.536149, 0.089366)","(0.53683, 0.08502)","(0.537117, 0.097964)","(0.399901, 0.072098)","(0.53683, 0.08502)","(0.86319, 0.037566)","(0.401033, 0.11914)",knn
cat_1_2,"(0.678158, 0.039008)","(0.5898, 0.040898)","(0.479802, 0.033658)","(0.838592, 0.039669)","(0.336268, 0.027226)","(0.319222, 0.026023)","(0.838592, 0.039669)","(0.517723, 0.043788)","(0.299645, 0.063695)",knn
cat_1_2_sd,"(0.667674, 0.028682)","(0.571124, 0.026446)","(0.469222, 0.027762)","(0.842848, 0.041859)","(0.325329, 0.02217)","(0.310167, 0.022235)","(0.842848, 0.041859)","(0.4925, 0.026196)","(0.28405, 0.048749)",knn
cat_1_2_3,"(0.664333, 0.022479)","(0.539757, 0.017599)","(0.465094, 0.019213)","(0.890686, 0.041504)","(0.314799, 0.013374)","(0.305346, 0.015084)","(0.890686, 0.041504)","(0.43798, 0.020082)","(0.28542, 0.040138)",knn
complete,"(0.668612, 0.025136)","(0.541703, 0.01549)","(0.46839, 0.023771)","(0.899197, 0.049238)","(0.316753, 0.016301)","(0.308076, 0.019209)","(0.899197, 0.049238)","(0.438027, 0.011052)","(0.2934, 0.046546)",knn
