dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.729644, 0.038479)","(0.804733, 0.025298)","(0.575992, 0.056014)","(0.593495, 0.08611)","(0.566353, 0.062483)","(0.428554, 0.047042)","(0.593495, 0.08611)","(0.865792, 0.035004)","(0.45269, 0.070316)",rf
cat_1_sd,"(0.752938, 0.05014)","(0.802734, 0.038971)","(0.602418, 0.075066)","(0.662783, 0.075651)","(0.554052, 0.082458)","(0.447693, 0.076725)","(0.662783, 0.075651)","(0.843094, 0.03422)","(0.47713, 0.100254)",rf
cat_1_2,"(0.706093, 0.034747)","(0.621221, 0.038673)","(0.506067, 0.037506)","(0.860054, 0.035675)","(0.358961, 0.032611)","(0.341015, 0.032513)","(0.860054, 0.035675)","(0.552133, 0.041082)","(0.345721, 0.05877)",rf
cat_1_2_sd,"(0.679297, 0.049639)","(0.570168, 0.054358)","(0.480138, 0.047645)","(0.877247, 0.05001)","(0.33104, 0.038702)","(0.319535, 0.03939)","(0.877247, 0.05001)","(0.481346, 0.05638)","(0.305619, 0.082504)",rf
cat_1_2_3,"(0.680047, 0.033717)","(0.564281, 0.029596)","(0.479006, 0.031581)","(0.890396, 0.046494)","(0.327735, 0.023704)","(0.317351, 0.026114)","(0.890396, 0.046494)","(0.469699, 0.026368)","(0.308464, 0.057955)",rf
complete,"(0.658928, 0.02157)","(0.517198, 0.019902)","(0.460412, 0.022375)","(0.916483, 0.039096)","(0.307535, 0.016525)","(0.30097, 0.017725)","(0.916483, 0.039096)","(0.401373, 0.021031)","(0.282803, 0.040762)",rf
