dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.778873, 0.05247)","(0.812571, 0.026311)","(0.629778, 0.066055)","(0.718632, 0.10995)","(0.563872, 0.045627)","(0.471404, 0.063439)","(0.718632, 0.10995)","(0.839114, 0.025245)","(0.515508, 0.085522)",svm
cat_1_sd,"(0.786588, 0.044603)","(0.804733, 0.032602)","(0.634421, 0.060329)","(0.754205, 0.075095)","(0.548566, 0.056357)","(0.471898, 0.061943)","(0.754205, 0.075095)","(0.818971, 0.029941)","(0.518493, 0.081777)",svm
cat_1_2,"(0.512603, 0.015491)","(0.551739, 0.268587)","(0.208578, 0.141774)","(0.43913, 0.459802)","(0.314216, 0.248624)","(0.235474, 0.01532)","(0.43913, 0.459802)","(0.586076, 0.479037)","(0.056373, 0.072813)",svm
cat_1_2_sd,"(0.512438, 0.015751)","(0.267869, 0.054026)","(0.370235, 0.00837)","(0.956522, 0.05325)","(0.229898, 0.008639)","(0.229336, 0.008057)","(0.956522, 0.05325)","(0.068354, 0.084099)","(0.028476, 0.035795)",svm
cat_1_2_3,"(0.500983, 0.001835)","(0.336497, 0.216609)","(0.292217, 0.146188)","(0.795652, 0.397915)","(0.17899, 0.08957)","(0.225071, 0.004522)","(0.795652, 0.397915)","(0.206313, 0.396891)","(0.013276, 0.019881)",svm
complete,"(0.500625, 0.00125)","(0.225712, 0.003132)","(0.367251, 0.005985)","(1.0, 0.0)","(0.224944, 0.004476)","(0.224944, 0.004476)","(1.0, 0.0)","(0.00125, 0.0025)","(0.007361, 0.014722)",svm
