dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.804644, 0.025977)","(0.880262, 0.02213)","(0.716843, 0.044099)","(0.66642, 0.050131)","(0.784366, 0.087633)","(0.597535, 0.058955)","(0.66642, 0.050131)","(0.942869, 0.028101)","(0.647637, 0.060497)",nn
cat_1_sd,"(0.818979, 0.019234)","(0.859674, 0.027098)","(0.708179, 0.03938)","(0.744496, 0.037926)","(0.681232, 0.073111)","(0.564086, 0.053347)","(0.744496, 0.037926)","(0.893461, 0.039604)","(0.620218, 0.052901)",nn
cat_1_2,"(0.756458, 0.020448)","(0.678035, 0.047353)","(0.561011, 0.025725)","(0.900185, 0.049019)","(0.409377, 0.031952)","(0.390002, 0.0244)","(0.900185, 0.049019)","(0.612731, 0.073248)","(0.433234, 0.032102)",nn
cat_1_2_sd,"(0.763104, 0.035529)","(0.659509, 0.051702)","(0.561471, 0.038777)","(0.952451, 0.015978)","(0.399063, 0.037736)","(0.391055, 0.036504)","(0.952451, 0.015978)","(0.573756, 0.064842)","(0.444056, 0.056014)",nn
cat_1_2_3,"(0.773782, 0.024155)","(0.709558, 0.039626)","(0.583637, 0.031528)","(0.891489, 0.04154)","(0.43549, 0.037291)","(0.412327, 0.030848)","(0.891489, 0.04154)","(0.656075, 0.057322)","(0.46218, 0.043764)",nn
complete,"(0.747188, 0.029164)","(0.644726, 0.044107)","(0.545605, 0.031468)","(0.934875, 0.038992)","(0.386125, 0.031166)","(0.375692, 0.030332)","(0.934875, 0.038992)","(0.559502, 0.061155)","(0.418358, 0.046493)",nn
