dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.795167, 0.073422)","(0.855012, 0.035736)","(0.673788, 0.100162)","(0.685314, 0.167644)","(0.687677, 0.078818)","(0.543431, 0.097543)","(0.685314, 0.167644)","(0.905021, 0.047497)","(0.591676, 0.112962)",svm
cat_1_sd,"(0.840083, 0.04683)","(0.857973, 0.046095)","(0.723836, 0.077465)","(0.807246, 0.078976)","(0.66459, 0.105791)","(0.58192, 0.099384)","(0.807246, 0.078976)","(0.87292, 0.056368)","(0.640254, 0.101806)",svm
cat_1_2,"(0.788851, 0.049724)","(0.742816, 0.040447)","(0.606635, 0.055871)","(0.872947, 0.070476)","(0.465174, 0.047328)","(0.437824, 0.054218)","(0.872947, 0.070476)","(0.704756, 0.034815)","(0.489501, 0.085814)",svm
cat_1_2_sd,"(0.789851, 0.040025)","(0.734875, 0.035289)","(0.6041, 0.044839)","(0.890338, 0.05154)","(0.457378, 0.038626)","(0.433849, 0.044534)","(0.890338, 0.05154)","(0.689363, 0.032414)","(0.489038, 0.069073)",svm
cat_1_2_3,"(0.789199, 0.037081)","(0.728905, 0.02751)","(0.600421, 0.039004)","(0.899324, 0.060626)","(0.450935, 0.031162)","(0.429838, 0.037697)","(0.899324, 0.060626)","(0.679074, 0.023999)","(0.48669, 0.062712)",svm
complete,"(0.791668, 0.03417)","(0.727905, 0.02893)","(0.602168, 0.036783)","(0.908116, 0.055488)","(0.450931, 0.031882)","(0.431392, 0.036065)","(0.908116, 0.055488)","(0.675219, 0.030548)","(0.490737, 0.058263)",svm
