dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.866871, 0.041322)","(0.918595, 0.019868)","(0.80912, 0.055895)","(0.772271, 0.082397)","(0.853971, 0.028945)","(0.712326, 0.064092)","(0.772271, 0.082397)","(0.961472, 0.008213)","(0.760627, 0.063117)",svm
cat_1_sd,"(0.895701, 0.041055)","(0.905689, 0.026748)","(0.80775, 0.05604)","(0.877391, 0.069656)","(0.749186, 0.049595)","(0.687891, 0.076251)","(0.877391, 0.069656)","(0.914012, 0.017871)","(0.750329, 0.073996)",svm
cat_1_2,"(0.826828, 0.061544)","(0.753879, 0.102418)","(0.654385, 0.099676)","(0.96029, 0.025951)","(0.507682, 0.123644)","(0.494773, 0.114097)","(0.96029, 0.025951)","(0.693366, 0.136813)","(0.56687, 0.122903)",svm
cat_1_2_sd,"(0.819427, 0.060772)","(0.739973, 0.103109)","(0.642273, 0.096969)","(0.964734, 0.022647)","(0.492239, 0.119006)","(0.480806, 0.109172)","(0.964734, 0.022647)","(0.674119, 0.138339)","(0.552513, 0.118909)",svm
cat_1_2_3,"(0.786978, 0.04741)","(0.682287, 0.080323)","(0.589755, 0.068991)","(0.978068, 0.019663)","(0.426936, 0.078951)","(0.421595, 0.073885)","(0.978068, 0.019663)","(0.595889, 0.107388)","(0.489279, 0.084534)",svm
complete,"(0.78023, 0.049173)","(0.669401, 0.083958)","(0.581904, 0.072858)","(0.982512, 0.016295)","(0.418742, 0.084191)","(0.414243, 0.078572)","(0.982512, 0.016295)","(0.577949, 0.112387)","(0.479853, 0.088716)",svm
