dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.811747, 0.027435)","(0.831156, 0.013991)","(0.67471, 0.031018)","(0.776232, 0.064009)","(0.598889, 0.025974)","(0.515645, 0.032757)","(0.776232, 0.064009)","(0.847262, 0.020282)","(0.573394, 0.041319)",svm
cat_1_sd,"(0.826877, 0.033007)","(0.794365, 0.036676)","(0.662869, 0.047707)","(0.886087, 0.044077)","(0.53122, 0.053185)","(0.497422, 0.055326)","(0.886087, 0.044077)","(0.767667, 0.043653)","(0.565634, 0.063883)",svm
cat_1_2,"(0.748676, 0.025082)","(0.700113, 0.020007)","(0.558356, 0.024945)","(0.837585, 0.053031)","(0.419195, 0.019195)","(0.388348, 0.02193)","(0.837585, 0.053031)","(0.659768, 0.0273)","(0.418823, 0.041989)",svm
cat_1_2_sd,"(0.743214, 0.02438)","(0.677282, 0.028315)","(0.548598, 0.025766)","(0.863865, 0.03272)","(0.402297, 0.023931)","(0.37866, 0.023271)","(0.863865, 0.03272)","(0.622564, 0.035284)","(0.407999, 0.041395)",svm
cat_1_2_3,"(0.741567, 0.038044)","(0.667376, 0.041893)","(0.54571, 0.039441)","(0.877295, 0.04856)","(0.396741, 0.036198)","(0.376781, 0.035525)","(0.877295, 0.04856)","(0.60584, 0.050158)","(0.405669, 0.06405)",svm
complete,"(0.68295, 0.093396)","(0.556938, 0.167393)","(0.496635, 0.067401)","(0.912657, 0.055002)","(0.346111, 0.062302)","(0.333303, 0.056511)","(0.912657, 0.055002)","(0.453242, 0.227641)","(0.307652, 0.156877)",svm
