dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.519598, 0.027566)","(0.588513, 0.151825)","(0.213834, 0.175721)","(0.392464, 0.321329)","(0.147014, 0.121046)","(0.23437, 0.012776)","(0.392464, 0.321329)","(0.646733, 0.289402)","(0.033431, 0.046945)",svm
cat_1_sd,"(0.491936, 0.023238)","(0.409359, 0.201699)","(0.273668, 0.142586)","(0.645411, 0.381375)","(0.175805, 0.089378)","(0.224229, 0.008452)","(0.645411, 0.381375)","(0.338462, 0.370919)","(-0.012678, 0.039547)",svm
cat_1_2,"(0.501329, 0.009344)","(0.233348, 0.008364)","(0.369246, 0.007809)","(0.991111, 0.017778)","(0.226893, 0.005086)","(0.226943, 0.005002)","(0.991111, 0.017778)","(0.011547, 0.00747)","(0.015496, 0.060138)",svm
cat_1_2_sd,"(0.501035, 0.001838)","(0.230378, 0.005552)","(0.369403, 0.003343)","(0.995652, 0.008696)","(0.226778, 0.002519)","(0.22678, 0.00252)","(0.995652, 0.008696)","(0.006419, 0.007022)","(0.013854, 0.020239)",svm
cat_1_2_3,"(0.500342, 0.00476)","(0.229393, 0.003575)","(0.369083, 0.004417)","(0.995556, 0.008889)","(0.226534, 0.002892)","(0.226546, 0.002869)","(0.995556, 0.008889)","(0.005128, 0.004797)","(0.005148, 0.041578)",svm
complete,"(0.5, 0.0)","(0.226412, 0.002108)","(0.369222, 0.002805)","(1.0, 0.0)","(0.226412, 0.002108)","(0.226412, 0.002108)","(1.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",svm
