dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.873745, 0.030781)","(0.91958, 0.015709)","(0.815518, 0.040821)","(0.789855, 0.061377)","(0.845644, 0.034282)","(0.716108, 0.050764)","(0.789855, 0.061377)","(0.957634, 0.01043)","(0.765942, 0.048731)",svm
cat_1_sd,"(0.886074, 0.032171)","(0.902709, 0.03144)","(0.801345, 0.057983)","(0.855556, 0.041922)","(0.756373, 0.080026)","(0.681772, 0.084232)","(0.855556, 0.041922)","(0.916592, 0.03362)","(0.741236, 0.075953)",svm
cat_1_2,"(0.798991, 0.0591)","(0.706162, 0.101216)","(0.614368, 0.101202)","(0.969082, 0.022739)","(0.462033, 0.131543)","(0.452322, 0.119718)","(0.969082, 0.022739)","(0.6289, 0.136677)","(0.517775, 0.124245)",svm
cat_1_2_sd,"(0.792431, 0.052)","(0.688281, 0.087427)","(0.597714, 0.08106)","(0.982512, 0.016295)","(0.436291, 0.096587)","(0.431398, 0.090405)","(0.982512, 0.016295)","(0.602349, 0.116587)","(0.500582, 0.098635)",svm
cat_1_2_3,"(0.784077, 0.048327)","(0.675351, 0.082795)","(0.586154, 0.071655)","(0.982512, 0.016295)","(0.422923, 0.082911)","(0.418348, 0.077301)","(0.982512, 0.016295)","(0.585641, 0.110947)","(0.485648, 0.087057)",svm
complete,"(0.74591, 0.007064)","(0.611704, 0.016119)","(0.536346, 0.008238)","(0.991208, 0.010769)","(0.367755, 0.009055)","(0.366424, 0.007686)","(0.991208, 0.010769)","(0.500612, 0.024047)","(0.422482, 0.008439)",svm
