dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.576423, 0.038872)","(0.65151, 0.032348)","(0.360677, 0.051678)","(0.439034, 0.089967)","(0.309271, 0.034843)","(0.265061, 0.022501)","(0.439034, 0.089967)","(0.713813, 0.048047)","(0.136881, 0.066532)",svm
cat_1_sd,"(0.558572, 0.04139)","(0.52424, 0.152602)","(0.370117, 0.03446)","(0.620097, 0.204628)","(0.275908, 0.03341)","(0.253528, 0.021068)","(0.620097, 0.204628)","(0.497047, 0.252571)","(0.099766, 0.069523)",svm
cat_1_2,"(0.5, 0.0)","(0.226412, 0.002108)","(0.369222, 0.002805)","(1.0, 0.0)","(0.226412, 0.002108)","(0.226412, 0.002108)","(1.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",svm
cat_1_2_sd,"(0.5, 0.0)","(0.226412, 0.002108)","(0.369222, 0.002805)","(1.0, 0.0)","(0.226412, 0.002108)","(0.226412, 0.002108)","(1.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",svm
cat_1_2_3,"(0.5, 0.0)","(0.226412, 0.002108)","(0.369222, 0.002805)","(1.0, 0.0)","(0.226412, 0.002108)","(0.226412, 0.002108)","(1.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",svm
complete,"(0.5, 0.0)","(0.33487, 0.218144)","(0.294729, 0.147382)","(0.8, 0.4)","(0.180641, 0.090337)","(0.226412, 0.002108)","(0.8, 0.4)","(0.2, 0.4)","(0.0, 0.0)",svm
