dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.791115, 0.030341)","(0.830181, 0.009773)","(0.655238, 0.027147)","(0.719517, 0.092288)","(0.61096, 0.036077)","(0.500314, 0.020789)","(0.719517, 0.092288)","(0.862713, 0.034615)","(0.552076, 0.029245)",svm
cat_1_sd,"(0.819043, 0.019617)","(0.81132, 0.027971)","(0.667993, 0.032879)","(0.83314, 0.033601)","(0.559896, 0.047522)","(0.503796, 0.037598)","(0.83314, 0.033601)","(0.804946, 0.039185)","(0.566312, 0.043115)",svm
cat_1_2,"(0.665478, 0.067433)","(0.530274, 0.11089)","(0.474979, 0.056654)","(0.912271, 0.036389)","(0.323825, 0.05289)","(0.314686, 0.047699)","(0.912271, 0.036389)","(0.418685, 0.146972)","(0.293306, 0.100696)",svm
cat_1_2_sd,"(0.657053, 0.048194)","(0.500562, 0.074542)","(0.464078, 0.042568)","(0.942899, 0.017931)","(0.308876, 0.03826)","(0.304259, 0.036892)","(0.942899, 0.017931)","(0.371208, 0.09583)","(0.287537, 0.069748)",svm
cat_1_2_3,"(0.608625, 0.02664)","(0.416063, 0.029349)","(0.427128, 0.01957)","(0.960483, 0.035318)","(0.274717, 0.014094)","(0.273127, 0.014528)","(0.960483, 0.035318)","(0.256766, 0.032902)","(0.224018, 0.052214)",svm
complete,"(0.608549, 0.031835)","(0.416113, 0.041322)","(0.427483, 0.022965)","(0.96029, 0.029513)","(0.27508, 0.017319)","(0.273433, 0.017776)","(0.96029, 0.029513)","(0.256807, 0.050232)","(0.223152, 0.054341)",svm
