dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.507843, 0.009546)","(0.635279, 0.116257)","(0.186346, 0.15216)","(0.273816, 0.226828)","(0.142469, 0.116684)","(0.22939, 0.00473)","(0.273816, 0.226828)","(0.741869, 0.217187)","(0.013546, 0.016719)",svm
cat_1_sd,"(0.5, 0.0)","(0.555766, 0.267852)","(0.148387, 0.181736)","(0.4, 0.489898)","(0.091089, 0.111561)","(0.226412, 0.002108)","(0.4, 0.489898)","(0.6, 0.489898)","(0.0, 0.0)",svm
cat_1_2,"(0.5, 0.0)","(0.226412, 0.002108)","(0.369222, 0.002805)","(1.0, 0.0)","(0.226412, 0.002108)","(0.226412, 0.002108)","(1.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",svm
cat_1_2_sd,"(0.5, 0.0)","(0.226412, 0.002108)","(0.369222, 0.002805)","(1.0, 0.0)","(0.226412, 0.002108)","(0.226412, 0.002108)","(1.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",svm
cat_1_2_3,"(0.5, 0.0)","(0.226412, 0.002108)","(0.369222, 0.002805)","(1.0, 0.0)","(0.226412, 0.002108)","(0.226412, 0.002108)","(1.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",svm
complete,"(0.5, 0.0)","(0.33487, 0.218144)","(0.294729, 0.147382)","(0.8, 0.4)","(0.180641, 0.090337)","(0.226412, 0.002108)","(0.8, 0.4)","(0.2, 0.4)","(0.0, 0.0)",svm
