Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
SPAG17,ENSG00000155761,0.9411824,0.05881763,1,
USP45,ENSG00000123552,0.9411913,0.058808684,6,2.0
TP53RK,ENSG00000172315,0.9412125,0.05878753,20,
THAP11,ENSG00000168286,0.9414995,0.05850052,16,
ASB18,ENSG00000182177,0.9415524,0.058447625,2,
PSMA4,ENSG00000041357,0.94155586,0.05844416,15,
CWF19L2,ENSG00000152404,0.9416845,0.058315523,11,
PSMD4,ENSG00000159352,0.9417343,0.0582657,1,
B4GALNT3,ENSG00000139044,0.94174194,0.058258034,12,
SMC6,ENSG00000163029,0.9417737,0.05822628,2,
ZC3H7B,ENSG00000100403,0.941785,0.058215037,22,
PLCH2,ENSG00000149527,0.9417924,0.058207553,1,
PFDN1,ENSG00000113068,0.9417993,0.058200717,5,
PHF1,ENSG00000112511,0.94183964,0.058160346,6,
KRT8,ENSG00000170421,0.9418479,0.058152106,12,
TMEM217B,ENSG00000286105,0.9419738,0.058026165,6,
RRAGB,ENSG00000083750,0.94198513,0.058014847,X,
BHMT,ENSG00000145692,0.9420134,0.057986647,5,
DESI2,ENSG00000121644,0.9420166,0.057983402,1,
ATP6V1B1,ENSG00000116039,0.94209385,0.057906136,2,
PRKRIP1,ENSG00000128563,0.94210637,0.057893608,7,
FPGT-TNNI3K,ENSG00000259030,0.9421645,0.0578355,1,
UBE2V1,ENSG00000244687,0.94218314,0.057816833,20,
MBP,ENSG00000197971,0.9422098,0.05779024,18,
ARPC2,ENSG00000163466,0.94222176,0.057778258,2,
KCNIP2,ENSG00000120049,0.94231206,0.057687946,10,
SEC24D,ENSG00000150961,0.94231284,0.057687145,4,
BMAL2,ENSG00000029153,0.9423683,0.05763166,12,
H2AP,ENSG00000187516,0.9424111,0.05758889,X,
PHKB,ENSG00000102893,0.94241387,0.057586107,16,
METTL5,ENSG00000138382,0.9424322,0.05756778,2,
SLC7A9,ENSG00000021488,0.94245714,0.05754287,19,
LRRC17,ENSG00000128606,0.9424597,0.057540327,7,
WNT3,ENSG00000108379,0.9424709,0.057529073,17,
CHRNA1,ENSG00000138435,0.9424846,0.057515398,2,
TTL,ENSG00000114999,0.94249743,0.057502594,2,
KDM4D,ENSG00000186280,0.94263923,0.057360753,11,
CRYGS,ENSG00000213139,0.94264835,0.05735163,3,
EMCN,ENSG00000164035,0.9427132,0.057286777,4,
SMIM10L1,ENSG00000256537,0.94271785,0.05728217,12,
YY2,ENSG00000230797,0.94274276,0.05725721,X,
RRAS,ENSG00000126458,0.942746,0.057254028,19,
TTLL7,ENSG00000137941,0.94276816,0.057231843,1,
XRCC1,ENSG00000073050,0.9428129,0.057187084,19,
KLHL22,ENSG00000099910,0.9428934,0.05710664,22,
APLP2,ENSG00000084234,0.9429361,0.057063878,11,
SPATS2,ENSG00000123352,0.94297135,0.057028677,12,
CDC45,ENSG00000093009,0.94306207,0.056937933,22,
DCAF8L1,ENSG00000226372,0.94312567,0.05687434,X,
SEC24C,ENSG00000176986,0.9431416,0.05685843,10,
AFG2B,ENSG00000171763,0.9431425,0.056857523,15,
