dataset_name,AUC,Accuracy,f1,Recall,Precision,Average Precision,Sensitivity,Specificity,MCC,model
cat_1,"(0.763205, 0.042801)","(0.842007, 0.028283)","(0.638835, 0.064565)","(0.619056, 0.080764)","(0.666435, 0.069627)","(0.500948, 0.065998)","(0.619056, 0.080764)","(0.907353, 0.027944)","(0.540884, 0.079845)",knn
cat_1_sd,"(0.808518, 0.042465)","(0.83415, 0.037002)","(0.676587, 0.059097)","(0.761702, 0.077041)","(0.614294, 0.070079)","(0.522736, 0.064925)","(0.761702, 0.077041)","(0.855333, 0.044661)","(0.576268, 0.079239)",knn
cat_1_2,"(0.731199, 0.022318)","(0.622172, 0.030604)","(0.528358, 0.022827)","(0.930712, 0.016352)","(0.369179, 0.021461)","(0.359438, 0.020971)","(0.930712, 0.016352)","(0.531686, 0.038534)","(0.391926, 0.035395)",knn
cat_1_2_sd,"(0.709372, 0.015288)","(0.578992, 0.023198)","(0.505476, 0.012553)","(0.948011, 0.022245)","(0.344763, 0.011371)","(0.338605, 0.011067)","(0.948011, 0.022245)","(0.470733, 0.03325)","(0.362464, 0.02274)",knn
cat_1_2_3,"(0.7103, 0.015291)","(0.578011, 0.017675)","(0.505908, 0.01293)","(0.952359, 0.016322)","(0.344487, 0.010422)","(0.338985, 0.011368)","(0.952359, 0.016322)","(0.468242, 0.021344)","(0.364227, 0.024076)",knn
complete,"(0.700025, 0.010733)","(0.557428, 0.01878)","(0.496261, 0.009413)","(0.960962, 0.016368)","(0.334603, 0.008714)","(0.330345, 0.008158)","(0.960962, 0.016368)","(0.439087, 0.027309)","(0.351896, 0.015516)",knn
